tempo,chroma_mean,spectral_centroid,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,filename,label,cluster
[129.19921875],0.57981986,3229.2092387423486,-131.93532,33.566383,35.517178,31.731373,14.757836,14.62134,7.021221,10.316659,3.8195186,6.659003,3.1228485,5.1853027,0.9694002,Rober Gaez - Make Me Love You %28Original Mix%29 %28BacauHouseMafia.Ro%29.mp3,Favorites,1
[123.046875],0.5801004,1986.5362535965653,-159.84247,90.484886,25.65397,39.480595,6.60736,20.370186,2.5206275,8.193084,-0.14453635,6.8862166,-0.3229555,3.7607021,0.22877352,15 Wilder Side feat. Candi Staton (Tong & Rogers Wonderland Mix).mp3,Favorites,0
[123.046875],0.5284027,2486.587135579538,-172.12863,62.49221,17.34285,22.997744,8.856243,18.80457,9.9216585,7.6071362,1.2810146,3.847112,1.0044401,4.8122463,1.425939,Yousef - Beg - (Hot Since 82-Future Mix).mp3,Favorites,0
[123.046875],0.6187839,3807.040665452195,-142.97534,10.1073,12.58758,17.203648,-0.3274574,18.03309,4.7148128,8.507699,3.6159153,9.058623,2.605696,3.9639409,-3.9463904,"Dzialach, Haade - My House (Original Mix).mp3",Favorites,2
[123.046875],0.57606363,3887.387889510178,-84.95956,23.721481,34.40958,36.313934,16.762043,15.774566,1.0242712,11.135814,0.72048736,3.5138018,-2.2246263,2.5337787,-0.950949,02 Shot You Down.mp3,Favorites,2
[123.046875],0.49088314,2902.492142472406,-145.5932,48.744198,36.154934,39.897995,16.482935,15.345398,5.159501,9.553933,-5.7230396,0.89744943,-10.106877,-5.171882,-6.2204127,"John Moss, Juliet Fox - Realize (Original Mi.mp3",Favorites,3
[123.046875],0.58678865,4044.674361490882,-80.72111,20.26881,3.3092022,24.812498,-2.7568064,3.490348,-8.806172,0.40485087,-7.114299,-2.931959,-8.758729,-3.0993595,-7.824491,Roter & Lewis - Get Out Of My Life.mp3,Favorites,2
[123.046875],0.54244983,3234.479244066862,-143.49976,39.5473,8.29909,17.992847,-0.57534045,11.548196,-1.5324323,5.2212563,-3.9035895,3.3213472,-5.2793565,-0.56805253,-5.015601,Bante - Too Far Gone (Original Mix).mp3,Favorites,1
[123.046875],0.4710573,2656.647588146886,-221.04283,65.6262,35.314484,19.736128,5.067586,15.112248,3.1791322,1.3817607,0.5747222,3.3948998,2.4612415,7.9399285,7.769685,"Ashmere, Elisabeth - And In Time (Mattei & Omich Remix) [ClapCrate.com].mp3",Favorites,3
[123.046875],0.614838,3869.292515411409,-136.72676,15.952745,1.2021711,4.5358624,-6.3704557,4.9406238,-8.116526,1.4139695,-4.6650105,0.71814984,-7.818588,-2.1829252,-6.1948953,"Smokin Jo, James Hurr, Stealth - Beggin- For Change (Extended Mix).mp3",Favorites,2
[123.046875],0.50216734,2878.403947760098,-115.65761,48.983063,28.772573,15.737906,-3.7800882,11.5097685,-7.223806,3.621695,-0.3279126,7.9706,-0.5359835,3.242139,-4.1635747,Anfunk - Don't You (Original Mix).mp3,Favorites,3
[123.046875],0.47563413,4293.006046652742,-198.58392,2.902327,34.456234,23.994202,16.78185,13.643588,6.80179,12.344495,1.0520277,10.929023,0.35549888,0.91577363,7.2851458,"Man Without A Clue, Lee Wilson - Do You Dance (Extended Mix) [ClapCrate.me].mp3",Favorites,2
[123.046875],0.5725054,3170.789698721423,-163.7821,35.79378,-6.6349688,23.594343,5.7925925,15.6305,5.3828936,8.612739,5.8113055,13.220673,4.59749,7.3796773,2.006842,Roland Nights - Let It Rain.mp3,Favorites,1
[123.046875],0.5191164,1545.5812097713592,-216.60483,105.31301,-8.414072,-0.738671,7.538922,10.532454,-2.9566302,4.5016093,8.273786,7.4083734,-0.77277875,2.7645845,6.141192,03 JaMON w_hot on street.mp3,Favorites,4
[61.5234375],0.61486465,3674.092573909945,-123.04301,30.66395,26.679531,23.329298,11.685048,13.248461,2.3020415,9.600781,-2.4556653,3.7215047,-1.4386578,2.4002888,0.46758702,Steve Mill - Side To Side (Original Mix) [Large Music].mp3,Favorites,2
[123.046875],0.505774,2533.431661505465,-172.14801,65.796135,-3.405878,13.384451,-12.437367,6.1870093,2.4969962,7.034446,2.2314885,7.6048574,5.7640796,4.9998865,4.784916,Kinky Movement - So Different [Guesthouse] exclusivesource4dj.com.mp3,Favorites,0
[123.046875],0.6357462,3366.56579645357,-106.90076,20.437328,-5.5093603,22.992926,1.1941183,17.686295,4.274484,8.94739,2.6262248,8.699589,1.4567481,7.149635,2.704614,"Made By Pete, Penny F - Our Story (Pete's Dub Mix) [quality dance music].mp3",Favorites,1
[123.046875],0.46927997,2284.2742177544205,-227.65674,73.721794,6.102298,24.091253,0.17535684,8.7106495,1.0851293,1.6000007,-0.33100602,0.81204337,-5.1471624,-1.0052435,-2.024658,04 late sax funky #.mp3,Favorites,0
[123.046875],0.52299917,1884.1917525903943,-231.21217,78.32714,33.230957,21.537943,11.555133,15.202309,7.614963,7.3129005,1.2667876,2.901982,-2.154971,-1.1818053,-4.224722,12A-Seba Lecompte - Love Connection (Phasen .mp3,Favorites,0
[123.046875],0.6546711,2809.0258588859347,-137.20715,47.65901,13.12546,25.96042,20.59076,22.197601,11.684886,9.368432,7.6209674,13.268615,7.9530163,10.662439,5.2848244,"Joeski, Lady Life - BadBoyzz (Original mix).mp3",Favorites,3
[123.046875],0.38019195,2156.9983144495723,-144.17593,94.62851,22.585518,19.854408,7.3518662,21.940037,7.0349083,8.115175,-6.2354546,3.4558816,4.845121,11.548265,6.519188,Maya Jane Coles - What They Say.mp3,Favorites,0
[123.046875],0.5513673,3030.8959744239232,-83.6794,55.29051,15.163128,16.718462,9.435738,18.12792,5.2990804,10.437436,1.4674425,6.0503974,-3.6425962,3.3997803,-2.9015234,Paco Caniza - Had Enough (Original Mix).mp3,Favorites,1
[123.046875],0.56405884,3585.9022570086627,-167.86905,15.867668,26.81842,33.942883,6.3869367,23.502748,3.5038772,8.659009,-1.1980776,0.7088278,0.17647673,3.4172628,-3.3323643,10 CMAVS SETTLE DOWN.mp3,Favorites,2
[123.046875],0.57097816,2698.56684795942,-190.36356,52.134964,37.56462,17.433578,10.753188,25.452436,4.633978,18.437532,10.81499,13.829179,7.3069005,10.282583,1.6011184,Lei - On The Light (Original Mix).mp3,Favorites,3
[123.046875],0.5921063,2856.951420442768,-117.30944,65.35054,22.571548,23.608774,1.8593115,25.997055,6.281398,14.788969,8.82226,7.47097,3.6481178,9.197742,1.8415644,"Defex, blondewearingblack - We Are The Beat (Original Mix).mp3",Favorites,3
[123.046875],0.539264,2745.0832383674538,-287.2389,50.98989,17.057446,16.742678,8.4611025,16.568974,3.8077672,9.877105,5.124906,8.498555,-1.5234885,1.3200908,-2.064088,SEE THE STARS.mp3,Favorites,3
[129.19921875],0.5359862,2825.8515833687,-101.01994,61.823494,2.100276,20.548208,1.574369,7.249929,-6.4594297,0.35967284,-2.8226013,3.304593,1.0018269,3.9436939,-2.8589957,Sonny Fodera - Soul Good.mp3,Favorites,3
[129.19921875],0.5596808,2982.087618103463,-133.56299,58.33861,9.314557,12.668834,14.38296,16.906687,-3.9066226,5.2905755,4.9119735,7.930474,-0.31997132,3.8418164,0.696894,Sleazy McQueen - Calling (Inland Knights Rem.mp3,Favorites,3
[123.046875],0.5482844,3033.243438778389,-194.39122,44.456898,-2.9380724,12.275527,3.5357666,10.784092,1.070394,8.805221,2.5491712,0.8020936,-0.44085175,-1.2101392,-8.822642,Release Me feat. Lotti (Original Mix).mp3,Favorites,1
[123.046875],0.4320084,1049.4250775634753,-290.23386,93.42132,50.216717,36.572235,30.583416,27.2226,13.197806,10.47118,9.473685,10.062754,6.0914445,3.8589118,0.22559604,Collected_Works_3_(Thyladomid_-_The_Voice)-O.mp3,Favorites,4
[123.046875],0.62535816,3709.592426856868,-157.003,25.729671,3.6758583,3.2337542,2.3981435,13.845041,-0.030054523,4.7159925,1.5956976,8.002597,1.6770769,6.59589,2.2805974,Long & Harris - Will She Wait (Original Mix).mp3,Favorites,2
[123.046875],0.5251771,4009.912283983795,-148.10393,31.603382,28.29627,-2.861135,-7.3093586,-0.48957518,-11.912994,-5.84602,-9.233018,-4.4516063,-5.2418804,-2.4408004,-4.912214,02 horns and blaaaaa.mp3,Favorites,2
[123.046875],0.5798255,3875.4686171044796,-187.2612,0.05603292,31.150457,25.737362,20.552692,24.652607,7.231093,16.427265,6.7805457,7.859423,1.9117726,5.493767,0.44677946,07 old shit rainbow.mp3,Favorites,2
[123.046875],0.6059945,4041.5130678721293,-100.44711,3.725515,-10.756618,7.1885347,-9.151856,4.652068,-9.908157,2.7688975,-5.6599426,4.8963804,-3.9811437,2.4568553,-5.8006883,Mirko - Meex - Fallin- (Original Mix).mp3,Favorites,2
[129.19921875],0.5148473,3264.663544189112,-204.79741,52.943615,27.007177,19.22793,11.669599,15.164623,1.4407014,8.841628,1.5544509,9.011768,-4.861013,3.875947,0.6544502,Ian Pooley - What's Your Number.mp3,Favorites,1
[123.046875],0.53453916,2849.616429804879,-130.8659,59.554913,27.583767,24.60383,1.7840421,17.184834,0.9076633,8.262368,1.4680506,5.8627915,4.057916,5.582613,1.9550197,Lose_Myself_(Deep_Mix)-SHE004-4(320k).mp3,Favorites,3
[123.046875],0.5981382,3841.8722946862126,-171.66402,-12.359331,19.662226,31.35104,4.7162457,17.294552,9.828262,14.853244,10.72998,11.809354,4.892663,10.072009,3.7238376,"Abm - a12bf64f-47c0-4050-87d5-6c8919e7ac65 - Kevin McKay, N2N, Mila Falls - Paradise (Extended ViP).m4a",Favorites,2
[123.046875],0.61085206,3879.1169970502124,-205.8729,0.4086268,13.859661,25.956137,4.734649,22.330889,2.5828812,21.37367,1.5557079,8.223685,0.2929566,5.002799,-4.175483,"Matt Prehn, Griffin - Dark Circles.mp3",Favorites,2
[129.19921875],0.5429373,2650.3178264746216,-208.89914,44.091206,16.624697,23.936544,12.17595,14.813187,5.2971916,8.208132,6.5798388,12.636755,8.723557,10.420646,6.0392694,Sneaky Sound System - Pictures (Tonite Only .mp3,Favorites,3
[123.046875],0.6126763,3108.9651256444627,-141.05536,48.58471,-1.0154638,10.329256,5.731335,18.019535,0.5251753,9.648484,-1.8456895,6.025196,2.4143581,4.421586,1.4736339,01 everybody loves you.mp3,Favorites,1
